Timestamp,Hydrogen (ppm),Methane (ppm),Acetylene (ppm),Ethylene (ppm),Ethane (ppm),Carbon Monoxide (ppm),Carbon Dioxide (ppm),Oxygen (ppm),TDCG (ppm),Water (ppm),transformer
28/06/2023 7:00:00 AM,12.4,18.3,0,4.6,19.5,450.8,1269,3385.1,506,2,6682f779ed777a1dc81f015d
27/06/2023 7:00:00 AM,12.3,17.7,0,4.5,19.4,446.3,1258,3378.1,500,2,6682f779ed777a1dc81f015d
26/06/2023 7:00:00 AM,12.3,20.9,0,4.5,19.3,443.4,1262,3400.4,500,2,6682f779ed777a1dc81f015d
25/06/2023 7:00:00 AM,12.2,18.6,0,4.4,18.5,446.2,1251,3420.7,500,2,6682f779ed777a1dc81f015d
24/06/2023 7:00:00 AM,12.6,19.1,0,4.5,19,460,1271,3422.6,515,2,6682f779ed777a1dc81f015d
23/06/2023 7:00:00 AM,12.6,19.3,0,4.5,19.7,463,1275,3418.2,519,2,6682f779ed777a1dc81f015d
22/06/2023 7:00:00 AM,12.7,18.1,0,4.7,18.6,451.7,1254,3399.9,506,2,6682f779ed777a1dc81f015d
21/06/2023 7:00:00 AM,12.7,19.2,0,4.8,19.4,446,1253,3409.4,502,2,6682f779ed777a1dc81f015d
20/06/2023 7:00:00 AM,12.6,18.9,0,4.7,19.6,441.3,1243,3363.3,497,2,6682f779ed777a1dc81f015d
19/06/2023 7:00:00 AM,12.7,19.4,0,4.7,18.3,457,1258,3398.4,512,2,6682f779ed777a1dc81f015d
18/06/2023 7:00:00 AM,12.7,18.6,0,4.9,18.4,458,1266,3463.6,513,2,6682f779ed777a1dc81f015d
17/06/2023 7:00:00 AM,12.6,19.5,0,4.9,19,437.2,1243,3407.2,493,2,6682f779ed777a1dc81f015d
16/06/2023 7:00:00 AM,12.5,21.3,0,4.9,20,440.9,1248,3392.9,500,2,6682f779ed777a1dc81f015d
15/06/2023 7:00:00 AM,12.8,20,0,4.7,18.9,452.7,1257,3435,509,2,6682f779ed777a1dc81f015d
14/06/2023 7:00:00 AM,12.6,18.6,0,4.5,18.2,440.7,1234,3458.3,495,2,6682f779ed777a1dc81f015d
13/06/2023 7:00:00 AM,12.9,18.7,0,4.5,18.1,447.5,1235,3438,502,2,6682f779ed777a1dc81f015d
12/6/2023 7:00,12.9,19,0,4.6,18,443.7,1215,3418,498,2,6682f779ed777a1dc81f015d
11/6/2023 7:00,12.8,20.2,0,4.6,18.1,437,1196,3420.2,493,2,6682f779ed777a1dc81f015d
10/6/2023 7:00,12.8,20.5,0,4.6,18.2,433.1,1179,3444.5,489,2,6682f779ed777a1dc81f015d
9/6/2023 7:00,12.6,20.4,0,4.5,18.5,433,1185,3514.3,489,2,6682f779ed777a1dc81f015d
8/6/2023 7:00,12.9,20.5,0,4.4,18.9,437.8,1188,3487.7,494,2,6682f779ed777a1dc81f015d
7/6/2023 7:00,12.8,20.4,0,4.3,18.6,436,1184,3506.3,492,2,6682f779ed777a1dc81f015d
6/6/2023 7:00,12.5,19.6,0,4.3,18.5,429.7,1184,3536.8,485,2,6682f779ed777a1dc81f015d
5/6/2023 7:00,12.7,20.2,0,4.2,18,431.9,1168,3507,487,2,6682f779ed777a1dc81f015d
4/6/2023 7:00,12.8,20.7,0,4.2,17.2,434.6,1160,3475.1,489,2,6682f779ed777a1dc81f015d
3/6/2023 7:00,12.9,21.2,0,4.2,16.6,438.3,1171,3470.9,493,2,6682f779ed777a1dc81f015d
2/6/2023 7:00,13.1,20.5,0,4.3,18.2,440.9,1173,3492.7,497,2,6682f779ed777a1dc81f015d
1/6/2023 7:00,13.2,21.2,0,4.3,18,444.4,1177,3475.4,501,2,6682f779ed777a1dc81f015d
